"fecha","total-bitcoins","volumen-comercio","promedio-bloque","billetera-usuarios","pagos-moneda","precio-mercado"
"7/3/2020","18421362.50","107207537.51","3453.79","50807793","542245","9087.98"
"7/4/2020","18421587.50","57803290.99","2975.13","50807793","484947","9072.42"
"7/5/2020","18421806.25","38839661.83","4027.67","50819572","620261","9131.31"
"7/6/2020","18422025.00","50720848.73","4034.94","50834080","649625","9089.09"
"7/7/2020","18422243.75","113743420.03","4257.64","50844380","642903","9348.91"
"7/8/2020","18422462.50","95242533.96","4035.80","50849128","661872","9256.23"
"7/9/2020","18422681.25","121129125.40","3979.11","50862584","640637","9440.07"
"7/10/2020","18422900.00","98869845.96","3681.11","50874784","574253","9238.04"
"7/11/2020","18423118.75","79818144.58","3274.82","50874784","497772","9287.40"
"7/12/2020","18423337.50","30014745.73","3994.27","50883886","587157","9235.96"
"7/13/2020","18423556.25","42610639.38","4673.51","50888757","672986","9295.90"
"7/14/2020","18423775.00","78223034.34","4506.58","50899899","621908","9238.13"
"7/15/2020","18423993.75","88249714.54","4829.24","50908842","656776","9254.52"
"7/16/2020","18424212.50","83393685.66","4872.98","50922841","575012","9193.51"
"7/17/2020","18424431.25","88531436.70","4487.65","50933404","583395","9131.00"
"7/18/2020","18424650.00","71682525.59","3858.48","50933404","505461","9154.19"
"7/19/2020","18424868.75","29934693.31","4157.30","50946336","586180","9174.71"
"7/20/2020","18425087.50","32799397.98","4909.11","50956444","613639","9214.66"
"7/21/2020","18425318.75","59994848.86","4796.31","50969947","690668","9163.87"
"7/22/2020","18425537.50","114760459.15","4744.20","50976071","645211","9392.66"
"7/23/2020","18425756.25","103269918.09","4319.21","50985962","695393","9537.40"
"7/24/2020","18425981.25","168395155.02","4088.09","50999025","580509","9613.11"
"7/25/2020","18426200.00","128787740.29","3526.47","50999025","557183","9551.28"
"7/26/2020","18426418.75","83145125.80","4278.39","51016714","637480","9707.50"
"7/27/2020","18426637.50","169823595.55","4682.12","51023007","678907","9938.83"
"7/28/2020","18426856.25","569642411.59","4566.21","51033047","675799","11042.40"
"7/29/2020","18427075.00","352662968.64","4768.06","51048695","643688","10934.94"
"7/30/2020","18427293.75","253835681.09","4522.90","51061792","692004","11102.67"
"7/31/2020","18427525.00","201165672.44","4404.56","51072983","603425","11114.93"
"8/1/2020","18427743.75","222815243.13","4139.14","51072983","583619","11343.88"
"8/2/2020","18427962.50","240815458.97","4058.15","51086889","657420","11823.69"
"8/3/2020","18428181.25","289592847.79","4550.66","51100924","659846","11077.77"
"8/4/2020","18428400.00","159671026.47","4682.14","51106037","603996","11242.57"
"8/5/2020","18428625.00","122455803.77","4561.88","51114667","711653","11194.25"
"8/6/2020","18428843.75","182136390.17","4390.53","51128995","667361","11750.28"
"8/7/2020","18429062.50","203809369.94","4128.68","51143211","586273","11772.94"
"8/8/2020","18429281.25","215793133.73","3373.44","51143211","526256","11605.60"
"8/9/2020","18429500.00","86008564.67","4654.00","51154030","637598","11767.60"
"8/10/2020","18429718.75","59683346.89","4518.81","51162951","695896","11684.06"
"8/11/2020","18429937.50","218397180.68","4418.54","51179181","693711","11893.03"
"8/12/2020","18430156.25","249861736.79","4478.05","51191262","658273","11392.43"
"8/13/2020","18430375.00","141688775.61","4297.41","51204773","717667","11573.11"
"8/14/2020","18430593.75","161732026.41","4072.22","51213490","635267","11777.43"
"8/15/2020","18430812.50","131449767.04","3624.89","51213490","550983","11774.38"
"8/16/2020","18431031.25","101333020.28","4888.24","51229438","611030","11873.98"
"8/17/2020","18431250.00","63773670.15","4841.21","51241007","677770","11914.01"
"8/18/2020","18431468.75","253521339.71","4927.63","51249204","680013","12293.72"
"8/19/2020","18431687.50","217771115.22","4556.74","51264652","665284","11969.53"
"8/20/2020","18431906.25","208815095.82","4130.94","51275890","640295","11734.00"
"8/21/2020","18432125.00","96746302.16","4491.24","51289691","610809","11865.82"
"8/22/2020","18432343.75","153928936.99","3505.59","51289691","550377","11522.80"
"8/23/2020","18432562.50","85029155.46","4271.10","51304849","636394","11683.44"
"8/24/2020","18432787.50","39027595.40","4955.58","51317072","634314","11653.02"
"8/25/2020","18433006.25","75749356.94","4629.04","51328847","657323","11763.93"
"8/26/2020","18433225.00","168869325.89","5130.83","51337691","661877","11337.40"
"8/27/2020","18433443.75","104337127.36","4186.66","51353381","682426","11467.37"
"8/28/2020","18433662.50","152064701.87","4050.33","51363967","591348","11302.01"
"8/29/2020","18433881.25","125753228.67","4154.53","51363967","527625","11534.75"
"8/30/2020","18434100.00","48056174.59","4140.11","51381463","621017","11481.64"
"8/31/2020","18434318.75","54121905.84","4858.64","51390785","748231","11707.78"
"9/1/2020","18434537.50","102290923.35","4670.16","51403087","672503","11659.57"
"9/2/2020","18434756.25","176627448.53","5087.53","51412778","656292","11923.25"
"9/3/2020","18434975.00","265432700.67","4857.09","51426356","655707","11397.44"
"9/4/2020","18435193.75","361418115.39","4731.14","51438971","667091","10187.51"
"9/5/2020","18435412.50","310980390.16","3594.71","51438971","539207","10467.89"
"9/6/2020","18435631.25","222072428.23","3681.98","51443226","644347","10159.62"
"9/7/2020","18435850.00","89153592.59","4276.99","51453168","662934","10254.93"
"9/8/2020","18436068.75","153205856.50","4398.22","51467910","655335","10367.74"
"9/9/2020","18436293.75","194156867.12","4521.31","51479974","714367","10121.52"
"9/10/2020","18436518.75","113383268.70","4705.22","51489570","649320","10227.83"
"9/11/2020","18436737.50","147055601.29","3501.05","51504055","595179","10352.66"
"9/12/2020","18436956.25","101653161.45","3249.83","51504055","526472","10395.44"
"9/13/2020","18437175.00","57857607.94","3930.40","51518773","691750","10446.44"
"9/14/2020","18437393.75","81937985.72","4366.13","51531460","681117","10330.77"
"9/15/2020","18437612.50","143525658.63","4566.11","51541202","707747","10674.64"
"9/16/2020","18437831.25","135273030.33","3976.80","51559155","707871","10785.62"
"9/17/2020","18438050.00","154480376.58","4022.96","51573453","663788","10948.43"
"9/18/2020","18438268.75","117116914.35","4002.86","51585531","596426","10943.89"
"9/19/2020","18438487.50","88269394.26","3677.32","51585531","522180","10931.79"
"9/20/2020","18438706.25","54811966.39","4215.03","51592769","611180","11081.43"
"9/21/2020","18438925.00","69233310.91","4908.63","51608755","633213","10919.65"
"9/22/2020","18439143.75","193630537.92","4885.07","51621718","693680","10430.46"
"9/23/2020","18439362.50","99403513.65","4673.22","51642949","640231","10532.22"
"9/24/2020","18439581.25","124490884.24","4151.07","51652345","701530","10234.48"
"9/25/2020","18439800.00","124807106.50","3721.80","51667919","558270","10732.43"
